elton john,candle in the wind,goodbye norma jean & though i never knew you at all & you had the grace to hold yourself & while those around you crawled & they crawled out of the woodwork & and they whispered into your brain & they set you on the treadmill & and they made you change your name & and it seems to me you lived your life & like a candle in the wind & never knowing who to cling to & when the rain set in & and i would liked to have known you & but i was just a kid & your candle burned out long before & your legend ever did & loneliness was tough & the toughest role you ever played & hollywood created a superstar & and pain was the price you paid & even when you died & oh the press still hounded you & all the papers had to say & was that marilyn was found in the nude & and it seems to me you lived your life & like a candle in the wind & never knowing who to cling to & when the rain set in & and i would liked to have known you & but i was just a kid & your candle burned out long before & your legend ever did & goodbye norma jean & though i never knew you at all & you had the grace to hold yourself & while those around you crawled & goodbye norma jean & from the young man in the twenty second row & who sees you as something as more than sexual & more than just our marilyn monroe & and it seems to me you lived your life & like a candle in the wind & never knowing who to cling to & when the rain set in & and i would liked to have known you & but i was just a kid & your candle burned out long before & your legend ever did & the candle burned out long before & your legend ever did &,,,,
gerry rafferty,baker street,winding your way down on baker street & lite in your head and dead on your feet & well another crazy day you drink the night away & and forget about everything & this city desert makes you feel so cold & its got so many people but its got no soul & and its taken you so long to find out you were wrong & when you thought it held everything & you used to think that it was so easy & you used to say that it was so easy & but youre tryin youre tryin now & another year and then youd be happy & just one more year and then youd be happy & but youre cryin youre cryin now & way down the street theres a light in his place & you open the door hes got that look on his face & and he asks you where youve been you tell him who youve seen & and you talk about anything & hes got this dream about buyin some land & hes gonna give up the booze and the one night stands & and then hell settle down its a quiet little town & and forget about everything & but you know hell always keep moving & you know hes never gonna stop moving & cause hes rollin & hes the rolling stone & and when you wake up its a new morning & the sun is shining its a new morning & and youre going youre going home &,,,,
gerry rafferty,right down the line,you know i need your love & youve got that hold over me & long as ive got your love & you know that ill never leave & when i wanted you to share my life & i had no doubt in my mind & and its been you woman & right down the line & i know how much i lean on you & only you can see & the changes that ive been through & have left a mark on me & youve been as constant as a northern star & the brightest light that shines & its been you woman right down the line & i just want to say this is my way & of tellin you everything & i could never say before & yeah this is my way of tellin you & that every day im lovin you so much more & cause you believed in me through my darkest night & put somethin better inside of me & you brought me into the light & threw away all those crazy dreams & i put them all behind & and it was you woman & right down the line & i just want to say this is my way of tellin you everything & i could never say before & yeah this is my way of tellin you & everything i could never say before & yeah this is my way of tellin you & that every day im lovin you so much more &,,,,
2 unlimited,tribal dance,come on check it out yall & (come on come on) & check it out the tribal dance & feel the force this is your chance & to get control and do the tribal dance & people started dancing a long time ago & the bass was fast but then again it was slow & soul house rhythm and blues & it doesnt matter what music you choose & strike up a dance is your chance & to come with me and do the tribal dance & youve got to move it with a temperature & into the rhythm that the fire burns & so get into it get into the trance & this is the rhythm of the tribal dance the tribal dance & it started with a tribe who discovered the vibe & who moved to the rhythm just the way they liked & you hear the treble you hear the bass & the areawhy yeah is on the case & feel the fire feel the flame & do your thing now dont be ashamed & i have to go now no offense & ive hooked you up into the tribal dance & get into it & get into it & get into the trance & youve got to do the tribal dance & check it out (come on) & take your chance & check it out (come on) & take your chance & check it out (come on) & take your chance & tribal dance tribal dance tribal dance & yeah oh tribal dance tribal dance & youve got to move it with a temperature & into the rhythm that the fire burns & so get into it get into the trance & this is the rhythm of the tribal dance the tribal dance &,,,,
2 unlimited,let the beat control your body,let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & now the my beat control your body & let my beat let my beat & control your body & the beat is runnin through your veins & control your body & when you let it penetrate your brain & the booming system which plays in places & move your system change these spaces & when im on the mic you cant refuse & no one ever came to preach i came to amuse & techno making no mistakin never faking & always breaking it down hey to a party & now let my beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & now let my beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let my beat let my beat & its my beat now its my beat & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body yeah & let my beat let my beat & down with the forces how we go & second to first just you to show & you just cant stand still cause you gotta move & you feel the bass line you feel the groove & my beat accepts you just as you are & it drives you away just like a fast car & its my beat it belongs to me & so let my beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & let the beat control your body & now let my beat control your body & let the beat control your body &,,,,
2 unlimited,get ready for this,yall ready for this & get down with the style & house on the ground & please when i squeeze & pump to your knees & who wants to play & im in here to stay & ready to take you around the way & so get ready for this & mind your own biz & cause i invented the microphone biz & no need to sit cause were 2 unlimited & ready ready ready for this & feel the base you just get closer & be impressed by the words i chose of & once again kickin it live & doin everything yo just to survive & a wall to wall i think i stand & being on stage with a mic in my hand & bustin it live to the crowd & the age is 20 im from the south & be a part & break my heart & get ready for this & mind your own biz & people in the front & show me what you want & and i wont give it in & get ready for this & were 2 unlimited & so people wont you sit & movin up and down & dancin on the ground & feelin kinda free; security & house is style that moves you from the ground & house on the ground bass in your face & racin the place no time to waste & feelin hypnotised & i can see it in your eyes & feelin kinda better & put on your sweater & feelin like a white & i think it doesnt matter & super dope def and even outrageous & if i was an animal theydve kept me in cages & so get ready for this & yall ready for this & step back relax dont you want to come in & when i start rappin the girlies want to come in & into my house into my room & thats the part where it goes boom boom & name here is ray the group is 2 unlimited & weve got a lot to say to you ah yeah and your other crew if it is & a & dream boom see boom &,,,,
2 unlimited,twilight zone,first to the bass into the jam & then let the music take command & back to back to another dimension & stop the force and pay some attention & music to party music to dance & the new followup of public demand & slick as five da la megaphone & take you down to the twilight zone & enter the clock and turn the body upside down & grab the microphone its upon the sound & you want more more you get & were 2 unlimited in effect & check up the sound and stop this distortion & when we get the fitness heres another portion & just lay back as we take control & take you down into the twilight zone & chorus & this is the twilight zone & and youre not on your own & we take you to the twilight zone & it is the twilight zone & you better shake your bones & and come on twilight zone & come on baby & im gonna take you to the twilight zone & have a good time take a break & hang with another first of the chapter & straight to the heavyweight for worst or better & fishes in the way found in the vicinity & slamming djs with the rhyme capability & listen to the jam as we go wild & check your mcs versatile & me and the lady howl mega tone & fuck you up in the twilight zone & wow & chorus & this is the twilight zone & and youre not on your own & we take you to the twilight zone & it is the twilight zone & you better shake your bones & and come on twilight zone &,,,,
cat stevens,wild world,now that ive lost everything to you & you say you want to start something new & and its breaking my heart youre leaving & baby im grieving & but if you want to leave take good care & hope you have a lot of nice things to wear & but then a lot of nice things turn bad out there & oh baby baby its a wild world & its hard to get by just upon a smile & oh baby baby its a wild world & ill always remember you like a child girl & you know ive seen a lot of what the world can do & and its breaking my heart in two & cause i never want to see you sad girl & dont be a bad girl & but if you want to leave take good care & hope you make a lot of nice friends out there & but just remember theres a lot of bad and beware & beware & oh baby baby its a wild world & its hard to get by just upon a smile & oh baby baby its a wild world & and ill always remember you like a child girl & baby i love you but if you want to leave take good care & hope you make a lot of nice friends out there & but just remember theres a lot of bad & and beware beware & oh baby baby its a wild world & its hard to get by just upon a smile & oh baby baby its a wild world & and ill always remember you like a child girl &,,,,
cat stevens,moonshadow,chorus & oh im bein followed by a moonshadow moon shadow moonshadow & leapin and hoppin on a moonshadow moonshadow moonshadow & and if i ever lose my hands lose my plough lose my land & oh if i ever lose my hands oh if i wont have to work no more & and if i ever lose my eyes if my colours all run dry & yes if i ever lose my eyes oh if i wont have to cry no more & chorus & and if i ever lose my legs i wont moan and i wont beg & yes if i ever lose my legs oh if i wont have to walk no more & and if i ever lose my mouth all my teeth north and south & yes if i ever lose my mouth oh if i wont have to talk & did it take long to find me i asked the faithful light & did it take long to find me and are you gonna stay the night & chorus & moonshadow moonshadow moonshadow moonshadow & cat stevens &,morning has broken,morning has broken like the first morning & blackbird has spoken like the first bird & praise for the singing & praise for the morning & praise for them springing fresh from the world & sweet the rain's new fall sunlit from heaven & like the first dewfall on the first grass & praise for the sweetness of the wet garden & sprung in completeness where his feet pass & mine is the sunlight & mine is the morning & born of the one light eden saw play & praise with elation praise ev'ry morning & god's recreation of the new day & morning has broken &,,
cat stevens,another saturday night,chorus & another saturday night and i aint got nobody & ive got some money cause i just got paid & now how i wish i had someone to talk to & im in an awful way & i got in town a month ago & ive seen a lot of girls since then & if i could meet em i could get em & but as yet i havent met em & thats how im in the state im in & chorus & another fella told me & he had a sister who looked just fine & instead of being my deliverance & she had a strange resemblance & to a cat named frankenstein & chorus & its hard on a fella & when he dont know his way around & if i dont find me a honey & to help me spend my money & im gonna have to blow this town & another saturday night and i aint got nobody & ive got some money cause i just got paid & now how i wish i had someone to talk to & im in an awful way & another saturday night and i aint got nobody & ive got some money cause i just got paid & now how i wish i had someone to talk to & im in an awful ooo & im in an awful way & hes in an awful way & im in an awful ooo & im in an awful way & hes in an awful way & im in an awful way &,,,,
